timestamp,open,high,low,close,volume
2021-03-18,3101.0000,3116.6300,3025.0000,3027.9900,3657027
2021-03-17,3073.2200,3173.0500,3070.2200,3135.7300,3118584
2021-03-16,3104.9700,3128.9100,3075.8601,3091.8600,2538764
2021-03-15,3074.5700,3082.2400,3032.0900,3081.6800,2918592
2021-03-12,3075.0000,3098.9800,3045.5000,3089.4900,2421888
2021-03-11,3104.0100,3131.7843,3082.9300,3113.5900,2776391
2021-03-10,3098.4500,3116.4600,3030.0500,3057.6400,3012489
2021-03-09,3017.9900,3090.9600,3005.1474,3062.8500,4030032
2021-03-08,3015.0000,3064.5900,2951.3100,2951.9500,4185008
2021-03-05,3005.0000,3009.0000,2881.0001,3000.4600,5388551
2021-03-04,3012.0000,3058.1300,2945.4300,2977.5700,5481578
2021-03-03,3081.1800,3107.7750,2995.0000,3005.0000,3988725
2021-03-02,3143.4700,3163.5200,3087.1201,3094.5300,2595762
2021-03-01,3127.8900,3149.5600,3097.9900,3146.1400,2733963
2021-02-26,3095.2000,3122.4400,3036.7000,3092.9300,4246135
2021-02-25,3136.7400,3178.2600,3047.7600,3057.1600,4399320
2021-02-24,3166.7500,3171.2300,3125.3800,3159.5300,3011275
2021-02-23,3127.0300,3204.7300,3093.6000,3194.5000,4677222
2021-02-22,3208.1300,3232.3199,3172.2600,3180.7400,3461266
2021-02-19,3328.2300,3333.5000,3245.7500,3249.9000,4305184
2021-02-18,3282.4200,3338.0000,3273.9400,3328.2300,3033607
2021-02-17,3263.6000,3320.9100,3259.4996,3308.6400,3261801
2021-02-16,3254.0500,3308.3000,3253.5910,3268.9500,2574721
2021-02-12,3250.0000,3280.2500,3233.3100,3277.7100,2335339
2021-02-11,3292.0000,3292.0000,3248.0600,3262.1300,2301417
2021-02-10,3314.0000,3317.9548,3254.0000,3286.5800,3125174
2021-02-09,3312.4900,3338.0000,3297.8400,3305.0000,2179355
2021-02-08,3358.5000,3364.9999,3304.0000,3322.9400,3257391
2021-02-05,3319.0000,3377.0000,3302.7100,3352.1500,3620808
2021-02-04,3330.0000,3347.0000,3277.7500,3331.0000,3670661
2021-02-03,3425.0100,3434.0000,3308.6200,3312.5300,7088781
2021-02-02,3380.0000,3427.7400,3361.1250,3380.0000,6183716
2021-02-01,3242.3600,3350.2600,3235.0250,3342.8800,4160212
2021-01-29,3230.0000,3236.9900,3184.5500,3206.2000,4293556
2021-01-28,3235.0400,3301.6800,3228.6900,3237.6200,3149228
2021-01-27,3341.4900,3346.5200,3207.0800,3232.5800,4660158
2021-01-26,3296.3559,3338.0000,3282.8700,3326.1300,2955235
2021-01-25,3328.5000,3363.8900,3243.1463,3294.0000,3749758
2021-01-22,3304.3100,3321.9100,3283.1644,3292.2300,2821914
2021-01-21,3293.0000,3348.5500,3289.5675,3306.9900,4945051
2021-01-20,3181.9900,3279.8000,3175.0000,3263.3800,5309835
2021-01-19,3107.0000,3145.0000,3096.0000,3120.7600,3305142
2021-01-15,3123.0200,3142.5450,3095.1700,3104.2500,4243995
2021-01-14,3167.5200,3177.9999,3120.5900,3127.4700,3070919
2021-01-13,3128.4400,3189.9500,3122.0800,3165.8900,3321244
2021-01-12,3120.0000,3142.1418,3086.0000,3120.8300,3418549
2021-01-11,3148.0100,3156.3841,3110.0000,3114.2100,3669095
2021-01-08,3180.0000,3190.6400,3142.2000,3182.7000,3537744
2021-01-07,3157.0000,3208.5420,3155.0000,3162.1600,3514545
2021-01-06,3146.4800,3197.5090,3131.1600,3138.3800,4394815
2021-01-05,3166.0100,3223.3800,3165.0600,3218.5100,2655548
2021-01-04,3270.0000,3272.0000,3144.0200,3186.6300,4411449
2020-12-31,3275.0000,3282.9219,3241.2000,3256.9300,2957206
